Name,SiteDescription,Administrator,Licensee,Address,City,State,Zip,County,Email,TelephoneNumber
DSC - VILLAGE HOUSE,ADULT RESIDENTIAL,KRISTEN HOLLOBAUGH,DEVELOPMENTAL SERVICES CONTINUUM,6010 HOWELL,LA MESA,CA,91942.0,SAN DIEGO,,(619) 697-1611
ROGERS SERENITY VILLA HOME,ADULT RESIDENTIAL,"ROGERS, MARCUS",MARK ROGERS,667 ALDERSON STREET,EL CAJON,CA,92019.0,SAN DIEGO,,(619) 442-9311
PASCUA'S HOME CARE,ADULT RESIDENTIAL,"PASCUA, REYNALDO","PASCUA, REYNALDO & JESUSA",2278 BINDAY WAY,SAN DIEGO,CA,92154.0,SAN DIEGO,,(619) 656-7693
RODRIGUEZ BOARD & CARE,ADULT RESIDENTIAL,CYNTHIA RODRIGUEZ,"RODRIGUEZ, CYNTHIA, JUANITA & JENNIFER",1435 FERN STREET,SAN DIEGO,CA,92102.0,SAN DIEGO,,(619) 544-8981
NORTH CORDOBA MANOR,ADULT RESIDENTIAL,ESPERANZA TAPIA,ESPERANZA TAPIA,4120 NORTH CORDOBA AVENUE,SPRING VALLEY,CA,91977.0,SAN DIEGO,,(619) 670-5440
"NOAH HOMES, INC.",ADULT RESIDENTIAL,SANDRA ROCCO-MELVILLE,NOAH HOMES INC.,12526 CAMPO ROAD,SPRING VALLEY,CA,91978.0,SAN DIEGO,,(619) 660-6200
GUILAS BOARD AND CARE HOME,ADULT RESIDENTIAL,MA. ELENA GUILAS,"GUILAS, MA. ELENA Y.",1185 NACION AVENUE,CHULA VISTA,CA,91911.0,SAN DIEGO,,(619) 565-2797
VELASCO HOME IV,ADULT RESIDENTIAL,LAILANI SANFORD,"VELASCO, MARCELINA & GUILLERMO",1542 MAX AVENUE,CHULA VISTA,CA,91911.0,SAN DIEGO,,(619) 934-3670
JARY BARRETO CRISIS CENTER,SOCIAL REHABILITATION FACILITY,ASHLEY TURICK,COMMUNITY RESEARCH FOUNDATION,2865 LOGAN AVENUE,SAN DIEGO,CA,92113.0,SAN DIEGO,,(619) 232-4357
"ARC OF SAN DIEGO, THE",ADULT DAY PROGRAM,MELANNIE MCCOY,"ARC OF SAN DIEGO, THE",9575 AERO DRIVE,SAN DIEGO,CA,92123.0,SAN DIEGO,,(858) 715-3780
"CHANGING OPTIONS, INC.",ADULT RESIDENTIAL,"MELCHER, JENNIFER","CHANGING OPTIONS, INC.",500 THIRD STREET,RAMONA,CA,92065.0,SAN DIEGO,,(760) 789-7299
MICHAEL'S HOUSE,ADULT RESIDENTIAL,RHEA E TABLER,"MICHAEL'S HOUSE, INC.",2120 SAN VICENTE ROAD,RAMONA,CA,92065.0,SAN DIEGO,,(760) 789-2960
ROSIE'S BOARD AND CARE,ADULT RESIDENTIAL,MICHELLE AGBAYANI,"ORLINO AGBAYANI, ROSIE AGBAYANI, MICHELLE AGBAYANI",4311 49TH ST.,SAN DIEGO,CA,92115.0,SAN DIEGO,,(619) 265-1676
RUBIA'S FACILITY CARE HOME,ADULT RESIDENTIAL,MERCEDES RUBIA,"RUBIA, FRANCISCO A. AND MERCEDES Z.",12443 OLD POMERADO ROAD,POWAY,CA,92064.0,SAN DIEGO,,(858) 397-3030
STONE MOUNTAIN RANCH,ADULT RESIDENTIAL,"ROBINSON, DEZI","HIDDEN VALLEY RANCH REHABILITATION SERVICES, INC.",16585 HIGHLAND VALLEY ROAD,RAMONA,CA,92065.0,SAN DIEGO,,(760) 789-4600
T.J.S. & M.C. - PRIMROSE HOUSE,ADULT RESIDENTIAL,"MOSS, MAUREEN, A.","T.J.S. & M.C., INC.",2449 PRIMROSE AVENUE,VISTA,CA,92083.0,SAN DIEGO,,(760) 598-3262
TJS & MC-MORGAN,ADULT RESIDENTIAL,"MOSS, MAUREEN A.",T.J.S. & M.C. INC.,347 MORGAN PLACE,VISTA,CA,92083.0,SAN DIEGO,,(760) 598-5938
IGBANTE-ENRIQUEZ RESIDENTIAL CARE II,ADULT RESIDENTIAL,GUIA IGBANTE-ENRIQUEZ,GUIA AURORA IGBANTE-ENRIQUEZ,953 BROADVIEW STREET,SPRING VALLEY,CA,91977.0,SAN DIEGO,,(619) 434-6560
SUNNY VIEWS,COMMUNITY CRISIS HOME - ARF,"THIEM, REBECCA W.",COMMUNITY RESEARCH FOUNDATION INC,25143 JACK RABBIT ACRES,ESCONDIDO,CA,92026.0,SAN DIEGO,,(760) 566-8648
AVID BEHAVIORAL DAY PROGRAM - CIVIC,ADULT DAY PROGRAM,"MAHARAJ, LORENA","AVID BEHAVIORAL DAY PROGRAM CIVIC, LLC",510 CIVIC CENTER DR SUITE E,VISTA,CA,92084.0,SAN DIEGO,,(760) 536-3001
A&R RESIDENTIAL CARE II,ADULT RESIDENTIAL,"JAZMIN, ROBERT",A&R RESIDENTIAL CARE LLC,812 ALBERT COURT,ESCONDIDO,CA,92027.0,SAN DIEGO,,(442) 277-4529
AVID BEHAVIORAL DAY PROGRAM,ADULT DAY PROGRAM,SARAI MARCELIN,AVID BEHAVIROAL DAY PROGRAM,1155 E GRAND AVENUE,ESCONDICO,CA,92025.0,SAN DIEGO,,(858) 442-6840
SANCHEZ RESIDENTIAL CARE 2,ADULT RESIDENTIAL,"SANCHEZ, ISABEL","BLUE SKY CARE SERVICES, INC.",13284 JACARANDA BLOSSOM DRIVE,VALLEY CENTER,CA,92082.0,SAN DIEGO,,(760) 297-3065
HOPE ARF,ADULT RESIDENTIAL,"DOST, LEENA",HOPE ARF INC.,551 VIA DEL CABALLO,SAN MARCOS,CA,92078.0,SAN DIEGO,,(760) 304-4631
FELICITA CARE,ADULT RESIDENTIAL,"ROKSANDIC, DRAGAN","DR RESIDENTIAL CARE, INC.",1661 ENCINO DRIVE,ESCONDIDO,CA,92025.0,SAN DIEGO,,(310) 994-3990
AVID BEHAVIORAL DAY PROGRAM-CAPALINA,ADULT DAY PROGRAM,"MARCELIN, SARAI",AVID BEHAVIORAL DAY PROGRAM-CAPALINA,1637 CAPALINA RD,SAN MARCOS,CA,92069.0,SAN DIEGO,,(858) 442-6840
MERAKEY - CERVEZA,ENHANCED BEHAVIORAL SUPPORTS HOME - ARF,"FORD, ANTHONY C",MERAKEY ALLOS,28493 CERVEZA COURT,ESCONDIDO,CA,92026.0,SAN DIEGO,,(760) 369-3936
"A PLACE OF GRACE, INC. - VERMEL",ENHANCED BEHAVIORAL SUPPORTS HOME - ARF,"PRICE, ROMAN",A PLACE OF GRACE INC.,1944 VERMEL AVENUE,ESCONDIDO,CA,92029.0,SAN DIEGO,,(707) 447-7634
WINGS RECOVERY CENTER LLC,SOCIAL REHABILITATION FACILITY,"HOSLAR, KATY",WINGS RECOVERY CENTER LLC,2217 BROOKHAVEN PASS,VISTA,CA,92081.0,SAN DIEGO,,(858) 220-9519
WINGS RECOVERY CENTER LLC,SOCIAL REHABILITATION FACILITY,"HOSLAR, KATY",WINGS RECOVERY CENTER LLC,1013 CREST VIEW RD,VISTA,CA,92081.0,SAN DIEGO,,(858) 220-9519
HAYDEN HOME,ADULT RESIDENTIAL,"BALUNGCAS, BERNADETTE","MAGNEON HOMES, INC.",515 S HAYDEN DRIVE,ESCONDIDO,CA,92027.0,SAN DIEGO,,(858) 206-0966
"CENTER FOR THE ARTS AND ADULT EDUCATION, THE",ADULT DAY PROGRAM,"HERENDEEN, CYNTHIA","TERI, INC",555 DEER SPRING ROAD,SAN MARCOS,CA,92069.0,SAN DIEGO,,(760) 721-1706
STEPPING STONE RESOURCES,ADULT DAY PROGRAM,"MUNOZ, ELIJAH",4 ACRES AND A UNICORN LLC,842 SOUTH MAIN AVENUE,FALLBROOK,CA,92028.0,SAN DIEGO,,(760) 451-8692
"NEW BEGINNINGS #1, LLC",ADULT RESIDENTIAL,"SELBURN, SHANE","NEW BEGINNINGS #1, LLC",1109 BELAIR DRIVE,FALLBROOK,CA,92028.0,SAN DIEGO,,(760) 645-3052
SOUTH UPAS ARF,ADULT RESIDENTIAL,"TAHERI, SOGAND","REZAZADEH, SOHEILA",820 S UPAS ST,ESCONDIDO,CA,92025.0,SAN DIEGO,,(760) 975-3153
SOUL AND HEARTS LLC,ADULT RESIDENTIAL,"PAHWA, RAVANEET",SOUL AND HEARTS LLC,1427 PHILIPS STREET,VISTA,CA,92083.0,SAN DIEGO,,(760) 295-2159
A MISSION FOR MICHAEL,SOCIAL REHABILITATION FACILITY,"MARA, WILLIAM","A BETTER LIFE RECOVERY, LLC",3875 PEONY DRIVE,FALLBROOK,CA,92028.0,SAN DIEGO,,(949) 313-4709
A MISSION FOR MICHAEL,SOCIAL REHABILITATION FACILITY,"MARA, WILLIAM","A BETTER LIFE RECOVERY, LLC",197 NORTH RIDGE DRIVE,FALLBROOK,CA,92028.0,SAN DIEGO,,(949) 313-4709
YAI SUNNY VIEWS COMMUNITY CRISIS HOME (CCH),COMMUNITY CRISIS HOME - ARF,"GORENA, HEATHER","YOUNG ADULT INSTITUTE, INC",25143 JACK RABBIT ACRES,ESCONDIDO,CA,92026.0,SAN DIEGO,,(646) 946-1389
A & R RESIDENTIAL CARE III,ADULT RESIDENTIAL,"JAZMIN, ROBERT",A & R RESIDENTIAL CARE LLC,722 SHERIDAN AVENUE,ESCONDIDO,CA,92026.0,SAN DIEGO,,(858) 204-5715
"NEW BEGINNINGS #1, LLC",ADULT RESIDENTIAL,"SELBURN, SHANE","NEW BEGINNINGS #1, LLC",1234 BELLVER CIRCLE,FALLBROOK,CA,92028.0,SAN DIEGO,,(760) 586-1994
ALIVE COMFORT CARE #1,ADULT RESIDENTIAL,"CARRERA, TERESA LOURDES",ALIVE COMFORT CARE LLC,2204 WEATHERBY AVE,ESCONDIDO,CA,92027.0,SAN DIEGO,,(619) 882-6669
LIGHTFULLY - ORION,SOCIAL REHABILITATION FACILITY,"STEAD, TAYLOR",MERAKI MANAGEMENT - CA LLC,2292 LUNDY LAKE DRIVE,ESCONDIDO,CA,92029.0,SAN DIEGO,,(805) 220-0609
"WINGS RECOVERY CENTER, LLC",ADULT RESIDENTIAL,"HOLSAR, KATY","WINGS RECOVERY CENTER, LLC",2124 OPAL RIDGE,VISTA,CA,92081.0,SAN DIEGO,,(858) 220-9519
AVID BDP PENNSYLVANIA,ADULT DAY PROGRAM,"MAHARAJ, LORENA",AVID BDP PENNSYLVANIA,351 E PENNSYLVANIA AVE,ESCONDIDO,CA,92025.0,SAN DIEGO,,(858) 442-6840
LIGHTFULLY-POLARIS,SOCIAL REHABILITATION FACILITY,"STEAD, TAYLOR",MERAKI MANAGEMENT-CA LLC,2460 VISTA LAGO TERRACE,ESCONDIDO,CA,92029.0,SAN DIEGO,,(805) 220-0609
"WINGS RECOVERY CENTER, LLC",ADULT RESIDENTIAL,"MONTANO, CARLOS","WINGS RECOVERY CENTER, LLC",2217 BROOKHAVEN PASS,VISTA,CA,92081.0,SAN DIEGO,,(858) 220-9519
"WINGS RECOVERY CENTER, LLC",ADULT RESIDENTIAL,"MONTANO, CARLOS","WINGS RECOVERY CENTER, LLC",1013 CREST VIEW RD,VISTA,CA,92081.0,SAN DIEGO,,(858) 220-9519
BEST CARE2U,ADULT RESIDENTIAL,"NGUYEN, TUYEN","BEST CARE2U, LLC",1061 FOUNTAIN PL.,ESCONDIDO,CA,92026.0,SAN DIEGO,,(858) 583-8065
SAN DIEGO COASTAL MENTAL HEALTH,SOCIAL REHABILITATION FACILITY,"KUZMINSKY, MAKSIM",SAN DIEGO COASTAL MENTAL HEALTH LLC,1845 LODGEPOLE RD,SAN MARCOS,CA,92078.0,SAN DIEGO,,(619) 400-7406
NEW BEGINNINGS #1 LLC,ADULT DAY PROGRAM,"SELBURN, SHANE",NEW BEGINNINGS #1 LLC,"504 E ALVARADO ST #102,201,202",FALLBROOK,CA,92028.0,SAN DIEGO,,(760) 586-1994
NOR LIVING CCH LLC,COMMUNITY CRISIS HOME - ARF,"BUCKINGHAM, ADELITA",NOR LIVING CCH LLC,25143 JACK RABBIT ACRES,ESCONDIDO,CA,92026.0,SAN DIEGO,,(619) 219-9209
HOOVER RESIDENTIAL CARE HOME,ADULT RESIDENTIAL,"LEYVA, LUPO",JIMENEZ FAMILY CARE HOMES INC.,1150 HOOVER ST,ESCONDIDO,CA,92027.0,SAN DIEGO,,(442) 257-2850
"HORIZONS RESIDENTIAL CARE, LLC",ADULT RESIDENTIAL,"HO, OI-KAY","HORIZONS RESIDENTIAL CARE, LLC",1747 CRAIGMORE AVE,ESCONDIDO,CA,92027.0,SAN DIEGO,,(650) 208-9183
A MISSION FOR MICHAEL - LIVE OAK,SOCIAL REHABILITATION FACILITY,"MARA, WILLIAM","A BETTER LIFE RECOVERY, LLC",2529 LIVE OAK PARK RD.,FALLBROOK,CA,92028.0,SAN DIEGO,,(949) 313-4709
MARIAH'S MEADOW,ADULT RESIDENTIAL,"OTTLEY, CHRISTOPHER",HEARTS TO MINDS LLC,14015 HILLDALE ROAD,VALLEY CENTER,CA,92082.0,SAN DIEGO,,(760) 751-7011
A MISSION FOR MICHAEL-SANTA MARGARITA,SOCIAL REHABILITATION FACILITY,"MARA, WILLIAM",A BETTER LIFE RECOVERY LLC,1852 SANTA MARGARITA,FALLBROOK,CA,92028.0,SAN DIEGO,,(949) 313-4709
MERAKEY - AMANDA,ENHANCED BEHAVIORAL SUPPORTS HOME - ARF,"MASSIE, NICOLE",MERAKEY ALLOS,2151 AMANDA LANE,ESCONDIDO,CA,92029.0,SAN DIEGO,,(442) 515-3438
ENCORE MENTAL HEALTH,SOCIAL REHABILITATION FACILITY,"SANGINITI, SAMANTHA",ENCORE MENTAL HEALTH LLC,6949 ELFIN OAKS RD,ESCONDIDO,CA,92029.0,SAN DIEGO,,(516) 776-2595
RYSE WELLNESS,SOCIAL REHABILITATION FACILITY,"SADEGHI, ARGHAVAN",EMPOWERMENT PARTNERS INC.,5262 SAN JACINTO CIRCLE W,FALLBROOK,CA,92028.0,SAN DIEGO,,(760) 712-9951
AARON HOME,ADULT RESIDENTIAL,"GARCIA, JESSE","CREATING A LEGACY, INC.",412 CARLO STREET,SAN MARCOS,CA,92078.0,SAN DIEGO,,(760) 295-3429
A&R RESIDENTIAL CARE IV,ADULT RESIDENTIAL,"RAYMUNDO, MALY",A&R RESIDENTIAL CARE LLC,3159 SHUE PLACE,ESCONDIDO,CA,92027.0,SAN DIEGO,,(858) 204-7806
THRIVE CARE SERVICES - SERENITY,ENHANCED BEHAVIORAL SUPPORTS HOME - ARF,"MANIPON, CHERIFER",THRIVE CARE SERVICES LLC,1334 OAK VIEW WAY,ESCONDIDO,CA,92029.0,SAN DIEGO,,(619) 387-8022
CARE WITH MERCY LLC,ADULT RESIDENTIAL,"MORRIS, MELANIE",CARE WITH MERCY LLC,10283 SPRUCE WOODLANDS WAY,ESCONDIDO,CA,92026.0,SAN DIEGO,,(760) 300-8103
LIGHTFULLY-POLARIS,SOCIAL REHABILITATION FACILITY,"STEAD, TAYLOR",MERAKI MANAGMENT -CA LLC,2460 VISTA LAGO TERRACE,ESCONDIDO,CA,92029.0,SAN DIEGO,,(669) 721-0872
THRIVE TOGETHER HOMES,ADULT RESIDENTIAL,"ROCKEY, ROSEMARY",THRIVE TOGETHER HOMES LLC,1277 CYPRESS DR,VISTA,CA,92084.0,SAN DIEGO,,(310) 490-2527
R E CARE HOMES 2,ADULT RESIDENTIAL,"MORALES,RHONDA",HUDDLE UP LLC,1324 WARD PLACE,ESCONDIDO,CA,92026.0,SAN DIEGO,,(951) 446-9524
YOUR GROUP HOME,ADULT RESIDENTIAL,"NIAZI, AISHA",YOUR GROUP HOME CORPORATION,1401 VIEW POINTE AVE,ESCONDIDO,CA,92027.0,SAN DIEGO,,(909) 768-1490
VISTA MENTAL HEALTH,SOCIAL REHABILITATION FACILITY,"LEIDERMAN, DANIEL",VISTA MENTAL HEALTH LLC,1026 EUCALYPTUS AVE,VISTA,CA,92084.0,SAN DIEGO,,(714) 235-0687
SAN DIEGO BRAIN INJURY FOUND.-HOWARD HOUSE,ADULT RESIDENTIAL,BRIANDA MUNOZ,SAN DIEGO BRAIN INJURY FOUNDATION,2033 ORO VERDE ROAD,ESCONDIDO,CA,92027.0,SAN DIEGO,,(760) 480-7468
"DOWNSTOWN, INC. II",ADULT RESIDENTIAL,ELISSA CIAVERELLI,"DOWNSTOWN, INC.",155 CASSOU,SAN MARCOS,CA,92069.0,SAN DIEGO,,(760) 591-9305
