"name","address","zip_code","type","administrator","phonenumber","source","entity_type"
"CALPINE ENERGY SOLUTIONS LLC  ","401 W A St",NULL,"MISC PROFESSIONAL","C/O CALPINE CORPORATION",NULL,"Audrey Merged",NULL
"CAMP OLIVER (SISTERS OF SOCIAL SERVICE OF LOS ANGELES)","8761  Riverside Dr",NULL,"WATER CO (WELLS)","ATTN MICHAEL FROST",NULL,"Audrey Merged",NULL
"CARDIFF SOCIAL LLC DBA WAVERLY RESTAURANT&LOUNGE ","2005  San Elijo Ave",NULL,"CAFE","ATTN JARED OMARA",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 108 LLC  ","16918  Dove Canyon Rd",NULL,"MISC PROFESSIONAL","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 108 LLC  ","477 N El Camino Real",NULL,"MISC PROFESSIONAL","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 108 LLC  ","625 W Citracado Pkwy",NULL,"MISC PROFESSIONAL","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 108 LLC  ","9850  Genesee Ave",NULL,"MISC PROFESSIONAL","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 108 LLC  ","161  Thunder Dr",NULL,"MISC PROFESSIONAL","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 414 LLC  ","10020  Pacific Mesa Blvd",NULL,"ELECTRONIC MANUFACTU","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 414 LLC  ","7515  Metropolitan Dr",NULL,"ELECTRONIC MANUFACTU","C/O ADVANTAX",NULL,"Audrey Merged",NULL
