,source_file,ein,org_name,org_type,website,phone,tax_year,address_line1,city,state,zip,county,full_address,rev_cy,assets_eoy,principal_name,all_emails,general_emails,misc_staff_emails,website_contact_form,linkedin,instagram,facebook
10,XML/202512519349301926_public.xml,330857142,Activated Ministries,San Diego Nonprofit,WWW.ACTIVATEDMINISTRIES.ORG,7607391240,2025,11835 Carmel Mountain Rd Suite 1304,San Diego,CA,92128,San Diego County,"11835 Carmel Mountain Rd Suite 1304, San Diego, CA, 92128",1001358.0,1928999.0,Thomas Hack,sponsorship@actmin.org,contact@actmin.org,sponsorship@actmin.org,https://www.activatedministries.org/contact ,,,
11,XML/202542449349300504_public.xml,853040609,Afghans Empowered Corp,San Diego Nonprofit,Www.afghansempowered.org,8587841122,2025,2101 S El Camino Real Suite 204,Oceanside,CA,92054,San Diego County,"2101 S El Camino Real Suite 204, Oceanside, CA, 92054",54823.0,3853.0,Mursel Sabir,community@afghansempowered.org,info@mysite.com,community@afghansempowered.org,https://www.afghansempowered.org/contact ,,,
12,,,Aha! Attitude. Harmony. Achievement.,California Nonprofit ,https://ahasb.org/,18057707200,,Nan,Nan,,,,"Nan, Nan, nan",,,Nan,"rene@ahasb.org, tabitha@ahasb.org, nic@ahasb.org, brandon@ahasb.org, paulina@ahasb.org, clinical@ahasb.org, kira@ahasb.org, media@ahasb.org, sabrina@ahasb.org, roxy@ahasb.org, molly@ahasb.org",,"rene@ahasb.org, tabitha@ahasb.org, nic@ahasb.org, brandon@ahasb.org, paulina@ahasb.org, clinical@ahasb.org, kira@ahasb.org, media@ahasb.org, sabrina@ahasb.org, roxy@ahasb.org, molly@ahasb.org",,https://www.linkedin.com/company/aha-attitude-harmony-achievement,https://www.instagram.com/aha_sb/,https://www.facebook.com/ahasb.org
13,,,Aids Services Foundation Oc Dba Radiant Health Centers,California Nonprofit ,http://radianthealthcenters.org/,9498095700,,17982 Sky Park Cir Ste J ,Irvine,CA,,Orange County,"17982 Sky Park Cir Ste J , Irvine, CA",,,Nan,"tnguyen@radianthealthcenters.org, lgarland@radianthealthcenters.org, marketing@radianthealthcenters.org",,"tnguyen@radianthealthcenters.org, lgarland@radianthealthcenters.org, marketing@radianthealthcenters.org",https://www.radianthealthcenters.org/contact-us ,https://www.linkedin.com/company/556115/,https://www.instagram.com/RadiantHealthOC,https://www.facebook.com/RadiantHealthOC
14,XML/202540459349302209_public.xml,953432182,Alliance Francaise De San Diego,San Diego Nonprofit,WWW.AFSANDIEGO.ORG,8585500144,2025,6640 Lusk Blvd Suite 104,San Diego,CA,92121,San Diego County,"6640 Lusk Blvd Suite 104, San Diego, CA, 92121",414705.0,104890.0,Xavier Coulomb,"Bureau@afsandiego.org, culture@afsandiego.org, education@afsandiego.org, certifications@afsandiego.org",info@afsandiego.org,"Bureau@afsandiego.org, culture@afsandiego.org, education@afsandiego.org, certifications@afsandiego.org",https://www.afsandiego.org/contact ,https://www.linkedin.com/company/afsandiego,https://www.instagram.com/alliancefrancaisesd,https://www.facebook.com/alliancefrancaisesandiego
15,XML/202540609349301009_public.xml,651189363,Alliance Health Clinic Inc,San Diego Nonprofit,alliancehealthclinic.org,,2025,5952 El Cajon Blvd,San Diego,CA,92115,San Diego County,"5952 El Cajon Blvd, San Diego, CA, 92115",859759.0,348120.0,Nan,Julius@alliancehealthclinic.org,,Julius@alliancehealthclinic.org,https://www.alliancehealthclinic.org/contact ,,,
16,XML/202521479349301152_public.xml,956056751,Alvarado Community Association,San Diego Nonprofit,ALVARADOESTATES.ORG,6192996899,2025,7007 Mission Gorge Road Suite 201,San Diego,CA,92120,San Diego County,"7007 Mission Gorge Road Suite 201, San Diego, CA, 92120",377729.0,838192.0,Jose Reynoso,"social@alvaradoestates.org, board@alvaradoestates.org, architecture@alvaradoestates.org, treasurer@alvaradoestates.org, gate@alvaradoestates.org, president@alvaradoestates.org, communications@alvaradoestates.org, vicepresident@alvaradoestates.org, streets@alvaradoestates.org, secretary@alvaradoestates.org, jsreynoso@cox.net, common.area@alvaradoestates.org, safety@alvaradoestates.org",,"social@alvaradoestates.org, board@alvaradoestates.org, architecture@alvaradoestates.org, treasurer@alvaradoestates.org, gate@alvaradoestates.org, president@alvaradoestates.org, communications@alvaradoestates.org, vicepresident@alvaradoestates.org, streets@alvaradoestates.org, secretary@alvaradoestates.org, jsreynoso@cox.net, common.area@alvaradoestates.org, safety@alvaradoestates.org",,,,
17,XML/202500209349301420_public.xml,475534541,Alzheimer'S San Diego,San Diego Nonprofit,WWW.ALZSD.ORG,8584924400,2025,3635 Ruffin Rd 300,San Diego,CA,92123,San Diego County,"3635 Ruffin Rd 300, San Diego, CA, 92123",6608471.0,8220364.0,Eugenia Welch,gwinters@alzsd.org,info@alzsd.org,gwinters@alzsd.org,https://www.alzsd.org/about/contact/ ,https://www.linkedin.com/company/alzheimerssd,,https://www.facebook.com/AlzheimersSD
18,XML/202503189349307870_public.xml,475534541,Alzheimer'S San Diego,San Diego Nonprofit,WWW.ALZSD.ORG,8584924400,2025,3635 Ruffin Rd 300,San Diego,CA,92123,San Diego County,"3635 Ruffin Rd 300, San Diego, CA, 92123",3689845.0,8335909.0,Eugenia Welch,gwinters@alzsd.org,info@alzsd.org,gwinters@alzsd.org,https://www.alzsd.org/about/contact/ ,https://www.linkedin.com/company/alzheimerssd,,https://www.facebook.com/AlzheimersSD
19,XML/202510929349301521_public.xml,884224069,Amanda Brown Livewell,San Diego Nonprofit,WWW.ABLIVEWELL.COM,8603384054,2025,4142 Campus Ave Unit 1,San Diego,CA,92103,San Diego County,"4142 Campus Ave Unit 1, San Diego, CA, 92103",111060.0,1092.0,Amanda Brown,amanda@ablivewell.com,,amanda@ablivewell.com,,,,
20,XML/202511289349302666_public.xml,951033615,American Federation Of Musicians,San Diego Nonprofit,PROMUSIC325.COM,6192764324,2025,1717 Morena Blvd,San Diego,CA,921103635,San Diego County,"1717 Morena Blvd, San Diego, CA, 921103635",559344.0,928668.0,James T Davies,"presidentafm325@promusic325.com, jimdavies@promusic325.com","admin@promusic325.com, info@promusic325.com","presidentafm325@promusic325.com, jimdavies@promusic325.com",,,,https://www.facebook.com/MusiciansSanDiego325Afm/
21,XML/202520459349301117_public.xml,391038914,Amity Institute Ltd,San Diego Nonprofit,www.amity.org,6192227000,2025,2727 Camino Del Rio South 137,San Diego,CA,92108,San Diego County,"2727 Camino Del Rio South 137, San Diego, CA, 92108",1186049.0,1556359.0,Nan,mail@amity.org,,mail@amity.org,https://amity.org/contact/ ,http://www.linkedin.com/company/amity-institute2019,https://www.instagram.com/amityinstitute/,https://www.facebook.com/Amity-Institute-1131261956986435/
22,XML/202532559349301883_public.xml,952788316,Appellate Defenders Inc,San Diego Nonprofit,WWW.ADI-SANDIEGO.COM,6196960284,2025,555 West Beech Street 300,San Diego,CA,92101,San Diego County,"555 West Beech Street 300, San Diego, CA, 92101",5365959.0,6524246.0,Lynelle Hee,"sds@adi-sandiego.com, klh@adi-sandiego.com, cta@adi-sandiego.com, jjd@adi-sandiego.com, apj@adi-sandiego.com, amj@adi-sandiego.com, casequestions@adi-sandiego.com, cbm@adi-sandiego.com, jdt@adi-sandiego.com, ree@adi-sandiego.com, llf@adi-sandiego.com, jmk@adi-sandiego.com, ano@adi-sandiego.com, mcr@adi-sandiego.com, lkh@adi-sandiego.com, dpc@adi-sandiego.com, sps@adi-sandiego.com, cwf@adi-sandiego.com, pev@adi-sandiego.com, lmo@adi-sandiego.com, hcc@adi-sandiego.com, ccp@adi-sandiego.com, sdb@adi-sandiego.com, lcc@adi-sandiego.com, cms@adi-sandiego.com, cej@adi-sandiego.com, dbt@adi-sandiego.com, rlh@adi-sandiego.com, wpm@adi-sandiego.com, ddv@adi-sandiego.com, oap@adi-sandiego.com, dll@adi-sandiego.com",,"sds@adi-sandiego.com, klh@adi-sandiego.com, cta@adi-sandiego.com, jjd@adi-sandiego.com, apj@adi-sandiego.com, amj@adi-sandiego.com, casequestions@adi-sandiego.com, cbm@adi-sandiego.com, jdt@adi-sandiego.com, ree@adi-sandiego.com, llf@adi-sandiego.com, jmk@adi-sandiego.com, ano@adi-sandiego.com, mcr@adi-sandiego.com, lkh@adi-sandiego.com, dpc@adi-sandiego.com, sps@adi-sandiego.com, cwf@adi-sandiego.com, pev@adi-sandiego.com, lmo@adi-sandiego.com, hcc@adi-sandiego.com, ccp@adi-sandiego.com, sdb@adi-sandiego.com, lcc@adi-sandiego.com, cms@adi-sandiego.com, cej@adi-sandiego.com, dbt@adi-sandiego.com, rlh@adi-sandiego.com, wpm@adi-sandiego.com, ddv@adi-sandiego.com, oap@adi-sandiego.com, dll@adi-sandiego.com",https://www.adi-sandiego.com/about-adi/contact-adi/ ,https://www.linkedin.com/company/appellate-defenders-inc,,
23,XML/202543189349305634_public.xml,455003748,Arcc Center Foundation Inc,San Diego Nonprofit,www.arcccenter.org,6194886002,2025,5173 Waring Rd Ste 114,San Diego,CA,92120,San Diego County,"5173 Waring Rd Ste 114, San Diego, CA, 92120",16260534.0,7105510.0,Marie A Bacsik,help@arcccenter.org,,help@arcccenter.org,https://www.arcccenter.org/contact ,,https://www.instagram.com/arcccenterrespite/?hl=en,https://www.facebook.com/ArccCenter/
24,XML/202533229349302553_public.xml,952975393,Argonauta Educational Programs Inc,San Diego Nonprofit,WWW.MONTESSORISCHOOLHOUSE.ORG,8582709350,2025,4544 Pocahontas Avenue,San Diego,CA,92117,San Diego County,"4544 Pocahontas Avenue, San Diego, CA, 92117",2661323.0,1565763.0,Dena Stoneman,admissions@mmssd.com,,admissions@mmssd.com,https://montessorischoolhouse.org/contact-us/ ,,,
25,XML/202532559349300243_public.xml,392067596,Artreach,San Diego Nonprofit,artreachsandiego.org,6199407278,2025,1065 University Ave,San Diego,CA,92103,San Diego County,"1065 University Ave, San Diego, CA, 92103",1451323.0,442514.0,Mike Trunzo,"murals@artreachsandiego.org, residencies@artreachsandiego.org, studio@artreachsandiego.org",hello@artreachsandiego.org,"murals@artreachsandiego.org, residencies@artreachsandiego.org, studio@artreachsandiego.org",,https://www.linkedin.com/company/artreachsd,https://www.instagram.com/reel/DXARgXdgbdC/,https://www.facebook.com/ArtReachSD
26,XML/202521199349302687_public.xml,330495641,Associated Subcontractors Alliance,San Diego Nonprofit,WWW.SANDIEGOASA.ORG,6198259552,2025,Po Box 600723,San Diego,CA,92160,San Diego County,"Po Box 600723, San Diego, CA, 92160",384534.0,538932.0,John Isham,amber@sandiegoasa.org,info@sandiegoasa.org,amber@sandiegoasa.org,,https://www.linkedin.com/company/associated-subcontractors-alliance-asa-san-diego/,https://www.instagram.com/asasandiego/,https://www.facebook.com/AssociatedSubcontractorsAlliance/
27,XML/202543149349306309_public.xml,330522594,Avid Center,San Diego Nonprofit,WWW.AVID.ORG,8583804800,2025,5187 College Avenue Ste 163,San Diego,CA,92115,San Diego County,"5187 College Avenue Ste 163, San Diego, CA, 92115",86402327.0,152539839.0,Thuan Nguyen,AVIDCare@avid.org,,AVIDCare@avid.org,,https://www.linkedin.com/company/avid4college,https://www.instagram.com/avid4college/,https://www.facebook.com/@AVIDCenter/
28,XML/202501339349309365_public.xml,941254655,Ability Now Bay Area,California Nonprofit ,https://abilitynowbayarea.org/,5105313323,2025,4500 Lincoln Avenue,Oakland,CA,94602,Alameda County,"4500 Lincoln Avenue, Oakland, CA, 94602",3602719.0,2690298.0,Leslie C W Visbal,marketdev@abilitynowba.org,info@abilitynowba.org,marketdev@abilitynowba.org,https://abilitynowbayarea.org/contact/ ,https://www.linkedin.com/company/abilitynowba/,https://www.instagram.com/abilitynowba,https://www.facebook.com/abilitynowba
29,XML/202500919349301700_public.xml,943087060,Abode Services,California Nonprofit ,https://abode.org/,5106577409,2025,40849 Fremont Blvd,Fremont,CA,94538,,"40849 Fremont Blvd, Fremont, CA, 94538",135717743.0,66490300.0,Vivian Wan,cdebenedetti@abode.org,info@abode.org,cdebenedetti@abode.org,https://abode.org/contact-us ,,https://www.instagram.com/abodeorg/,https://www.facebook.com/AbodeOrg
30,XML/202530299349300233_public.xml,912088232,Academy For Grassroots Organizations,California Nonprofit ,http://www.academygo.com/,7605536029,2025,13312 Ranchero Road Pmb 202,Oak Hills,CA,92344,,"13312 Ranchero Road Pmb 202, Oak Hills, CA, 92344",361590.0,625669.0,Nan,Admin@AcademyGO.com,admin@academygo.com,Admin@AcademyGO.com,https://members.academygo.com/contact ,,https://www.instagram.com/academygoie/,https://www.facebook.com/AcademyGOIE
31,,,Ace Of Hearts Dog Rescue,California Nonprofit ,https://acesangels.org/,13103583344,,Po Box 2357 ,Beverly Hills,CA,,Los Angeles County,"Po Box 2357 , Beverly Hills, CA",,,Nan,"dogsfromheaven@aol.com, aofhcoordinator@gmail.com",,"dogsfromheaven@aol.com, aofhcoordinator@gmail.com",https://www.acesangels.org/contact ,,https://www.instagram.com/aceofheartsdogrescue/,https://www.facebook.com/Aceofheartsdogs/
32,,,Advent Group Ministries Inc.,California Nonprofit ,http://adventgm.org/,14082810708,,Nan,Nan,,,,"Nan, Nan, nan",,,Nan,advent@adventgm.org,,advent@adventgm.org,https://www.adventgm.org/contact ,https://www.linkedin.com/company/advent-group-ministries/,https://www.instagram.com/advent.gm,https://www.facebook.com/AdventGroupMinistries
33,,,"Advocacy, Inc.",California Nonprofit ,http://www.advocacy-inc.org/,,,1500 41St Ave Ste. 222 ,Capitola,CA,,Santa Cruz County,"1500 41St Ave Ste. 222 , Capitola, CA",,,Nan,advocate@advocacy-inc.org,,advocate@advocacy-inc.org,,,,
34,XML/202512259349303151_public.xml,943157218,Advokids,California Nonprofit ,http://www.advokids.org/,4159240587,2025,5643 Paradise Drive 12B,Corte Madera,CA,94925,Marin County,"5643 Paradise Drive 12B, Corte Madera, CA, 94925",839552.0,582600.0,Margaret Coyne Jd,"advocate@michaeln624.sg-host.com, helpline@advokids.org, advocate@advokids.org",,"advocate@michaeln624.sg-host.com, helpline@advokids.org, advocate@advokids.org",https://advokids.org/contact-us-2/ ,https://www.linkedin.com/company/advokids/,https://www.instagram.com/advokids/?hl=en,https://www.facebook.com/Advokids/
35,,,Affordable Homeless Housing Alternatives,California Nonprofit ,http://www.ahha-humco.org/,,,Po Box 3794 ,Eureka,CA,,Humboldt County,"Po Box 3794 , Eureka, CA",,,Nan,ahha.humco@gmail.com,,ahha.humco@gmail.com,http://www.ahha-humco.org/contact-county-and-city-officials ,,https://www.instagram.com/ahhahumco/,https://www.facebook.com/AHHA-Affordable-Homeless-Housing-Alternatives-546655568823719
36,XML/202530569349301048_public.xml,943398311,Afghan Coalition,California Nonprofit ,http://www.afghancoalition.org/,5107451682,2025,39155 Liberty St Suite D460,Fremont,CA,94538,Alameda County,"39155 Liberty St Suite D460, Fremont, CA, 94538",1107318.0,644984.0,Rona Popal,youremailaddress@mail.com,info@afghancoalition.org,youremailaddress@mail.com,https://afghancoalition.org/contact-us/ ,https://www.linkedin.com/company/afghancoalition/?viewAsMember=true,https://www.instagram.com/afghan_coalition/?locale=uken1&hl=am-et,https://www.facebook.com/Afghancoalition?mibextid=LQQJ4d
37,XML/202513109349304466_public.xml,823792356,Afghan-American Community Organization,San Diego Nonprofit,aa-co.org,5104499601,2025,501 W Broadway Suite 1540,San Diego,CA,92101,San Diego County,"501 W Broadway Suite 1540, San Diego, CA, 92101",306716.0,214579.0,Mohammad Ali Aziz-Sultan Md,"safespace@aa-co.org,  operations@aa-co.org, programming@aa-co.org, marketing@aa-co.org, operations@aa-co.org,  marketing@aa-co.org, hiring@aa-co.org","info@aa-co.org,  info@aa-co.org","safespace@aa-co.org,  operations@aa-co.org, programming@aa-co.org, marketing@aa-co.org, operations@aa-co.org,  marketing@aa-co.org, hiring@aa-co.org",https://aa-co.org/contact-1 ,https://www.linkedin.com/company/afghan-american-community-organization/?viewAsMember=true,https://www.instagram.com/p/DW7G4WxkyYS/,
38,,,African American Community Service Agency,California Nonprofit ,http://www.sjaacsa.org/,4082923157,,304 N. 6Th Street ,San Jose,CA,,Santa Clara County,"304 N. 6Th Street , San Jose, CA",,,Nan,"lavere.foster@sjaacsa.org, milan.balinton@sjaacsa.org",,"lavere.foster@sjaacsa.org, milan.balinton@sjaacsa.org",http://www.sjaacsa.org/contact-us ,https://www.linkedin.com/in/milan-balinton-6635a117/,https://www.instagram.com/sj_aacsa/,https://www.facebook.com/CityofSanJose/
39,,,"African American Network Of Kern County, Inc",California Nonprofit ,http://aankc.org/,,,P. O. Box 1215 ,Bakersfield,CA,,Kern County,"P. O. Box 1215 , Bakersfield, CA",,,Nan,support@digitalspace.net,,support@digitalspace.net,https://digitalspace.net/contact.html ,,,
40,,,Alameda Post Inc.,California Nonprofit ,https://alamedapost.com/,,,1516 Oak St Ste 203 ,Alameda,CA,,Alameda County,"1516 Oak St Ste 203 , Alameda, CA",,,Nan,"publisher@alamedapost.com, sales@alamedapost.com, podcast@alamedapost.com, accounting@alamedapost.com, community@alamedapost.com, editor@alamedapost.com, webmaster@alamedapost.com",info@alamedapost.com,"publisher@alamedapost.com, sales@alamedapost.com, podcast@alamedapost.com, accounting@alamedapost.com, community@alamedapost.com, editor@alamedapost.com, webmaster@alamedapost.com",https://alamedapost.com/contact/ ,,https://www.instagram.com/alameda.post/,https://www.facebook.com/AlamedaPost/
41,XML/202523179349308292_public.xml,201891448,Alchemist Cdc,California Nonprofit ,http://www.alchemistcdc.org/,9162048260,2025,4625 44Th Street Ste 33,Sacramento,CA,95820,Sacramento County,"4625 44Th Street Ste 33, Sacramento, CA, 95820",4527313.0,4201420.0,Sarah Dillon,volunteer@alchemistcdc.org,info@alchemistcdc.org,volunteer@alchemistcdc.org,https://alchemistcdc.org/contact-us/ ,https://www.linkedin.com/company/9746579/,https://www.instagram.com/alchemistcdc/,https://www.facebook.com/AlchemistCDC/
42,XML/202501289339301225_public.xml,680152770,Alcohol Justice,California Nonprofit ,https://alcoholjustice.org/,4152572480,2025,24 Belvedere Street,San Rafael,CA,94901,,"24 Belvedere Street, San Rafael, CA, 94901",,,Nan,"media@alcoholjustice.org, advocacy@alcoholjustice.org",,"media@alcoholjustice.org, advocacy@alcoholjustice.org",https://alcoholjustice.org/contact-us/ ,https://www.linkedin.com/company/alcohol-justice/,https://www.instagram.com/alcohol_justice/,https://www.facebook.com/alcoholwatchdog
43,XML/202543189349311664_public.xml,946184432,Ali Akbar College Of Music,California Nonprofit ,http://www.aacm.org/,4154546372,2025,215 West End Ave,San Rafael,CA,949012645,Marin County,"215 West End Ave, San Rafael, CA, 949012645",403522.0,592599.0,Mary J Khan,office@aacm.org,,office@aacm.org,https://aacm.org/contact-the-ali-akbar-college-of-music/ ,,https://www.instagram.com/aliakbarcollegeofmusic/,https://www.facebook.com/pg/AliAkbarCollegeofMusic/
44,XML/202510459349301036_public.xml,522094677,Alliance For Justice,California Nonprofit ,http://www.afj.org/,,2025,225 E 26Th Street Ste 1,Tucson,AZ,85713,Los Angeles County,"225 E 26Th Street Ste 1, Tucson, AZ, 85713",6707856.0,9058695.0,Nan,alliance@afj.org,,alliance@afj.org,https://afj.org/contact/ ,https://www.linkedin.com/company/alliance-for-justice/,,https://www.facebook.com/AllianceforJustice
45,XML/202542449349300109_public.xml,882164610,Althea Canines,California Nonprofit ,http://altheacanines.org/,9166049449,2025,9275 Elm Ave,Orangevale,CA,95662,,"9275 Elm Ave, Orangevale, CA, 95662",104160.0,9594.0,Shannon Kane,support@altheacanines.org,,support@altheacanines.org,,,,
46,XML/202510859349300801_public.xml,863227139,Amache Alliance,California Nonprofit ,http://amachealliance.org/,6194054038,2025,1502 Avenida La Posta,Encinitas,CA,92024,San Diego County,"1502 Avenida La Posta, Encinitas, CA, 92024",314305.0,169506.0,Mitch Homma,amachealliance@gmail.com,,amachealliance@gmail.com,https://www.amachealliance.org/contact ,,,
47,XML/202542899349300709_public.xml,871706248,Amandas Adaptive Martial Arts,San Diego Nonprofit,amandasmartialarts.com,,2025,4934 W Point Loma Blvd Apt A,San Diego,CA,92107,San Diego County,"4934 W Point Loma Blvd Apt A, San Diego, CA, 92107",280373.0,0.0,Amanda Piepgras,amandagee77@amandasmartialarts.com,,amandagee77@amandasmartialarts.com,,,https://www.instagram.com/amandas.adaptive.martial.arts/,https://www.facebook.com/Amandas-Adaptive-Martial-Arts-103969318622832/photos/?ref=page_internal
48,XML/202530629349302153_public.xml,510604921,American Balint Society,San Diego Nonprofit,www.americanbalintsociety.org,8438762916,2025,7016 Santa Fe Canyon Place,San Diego,CA,92129,San Diego County,"7016 Santa Fe Canyon Place, San Diego, CA, 92129",204695.0,226401.0,Nan,"president@americanbalintsociety.org, secretary@americanbalintsociety.org, treasurer@americanbalintsociety.org",admin@americanbalintsociety.org,"president@americanbalintsociety.org, secretary@americanbalintsociety.org, treasurer@americanbalintsociety.org",https://www.americanbalintsociety.org/contact_us.php ,https://www.linkedin.com/company/americanbalintsociety/,https://www.instagram.com/americanbalintsociety/,
49,XML/202541749349300884_public.xml,811078438,American Friends Of Promotora De Las Bellas Artes Ac,San Diego Nonprofit,https://promotoradelasbellasartes.org/,6198668104,2025,3047 North Park Way Unit 202,San Diego,CA,92104,San Diego County,"3047 North Park Way Unit 202, San Diego, CA, 92104",446375.0,519835.0,Alida Guajardo,pba@promotoradelasbellasartes.org,,pba@promotoradelasbellasartes.org,,,http://www.instagram.com/pba_ac,https://www.facebook.com/promotora.bellasartes
50,,,Amikas,California Nonprofit ,http://www.amikas.org/,,,Nan,Nan,,,,"Nan, Nan, nan",,,Nan,social@thomasp60.sg-host.com,info@amikas.org,social@thomasp60.sg-host.com,https://www.amikas.org/contact-us/ ,,https://www.instagram.com/amikas108/,https://www.facebook.com/AmikasBridgeHousing
51,,,Amity Institute,California Nonprofit ,http://www.amity.org/,,,2727 Camino Del Rio S Ste 137 ,San Diego,CA,,San Diego County,"2727 Camino Del Rio S Ste 137 , San Diego, CA",,,Nan,mail@amity.org,,mail@amity.org,https://amity.org/contact/ ,http://www.linkedin.com/company/amity-institute2019,https://www.instagram.com/amityinstitute/,https://www.facebook.com/Amity-Institute-1131261956986435/
52,XML/202523509349100622_public.xml,921530107,Anacapa School,California Nonprofit ,https://www.anacapaschool.org/,8053204104,2025,100 South Mills Road,Ventura,CA,93003,,"100 South Mills Road, Ventura, CA, 93003",,,Nan,anacapa@anacapaschool.org,,anacapa@anacapaschool.org,,,https://www.instagram.com/theanacapaschool/,https://www.facebook.com/theanacapaschool
