EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10706635,101 ARTISTS COLONY,% DANNY SALZHANDLER,1106 SECOND STREET SUITE 125,ENCINITAS,CA,92024-5031,0,4,3,3000,200302,2,0,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A20,
10736017,SAN DIEGO THERAPEUTIC HORSEMANSHIP,,2191 HOLLISTER ST,SAN DIEGO,CA,92154-4302,0,3,3,1200,200211,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,N69,
10777554,BORDER ANGELS,% LUIS OSUNA,2258 ISLAND AVE,SAN DIEGO,CA,92102-2921,0,3,3,1000,200312,1,15,0,1,1,202412.0,5,4,1,0,12,740254.0,489373.0,489328.0,P61,
10778616,CORTEZ RACING ASSOCIATION A CALIFORNIA CORPORATION,% SHELLY RAMING,2907 SHELTER ISLAND DRIVE STE 105-5,SAN DIEGO,CA,92106-2797,0,3,3,1000,200308,1,15,0,1,1,202412.0,4,4,1,0,12,127602.0,108095.0,108095.0,N70,
10790530,MOUNT MIGUEL HIGH SCHOOL FOUNDATION INC,% JOANNE BURKE,PO BOX 1055,LEMON GROVE,CA,91946-1055,0,3,3,1200,200310,1,15,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,B122,
10819805,STEPPING HIGHER INC,% WILLIAM A BENSON,7373 UNIVERSITY AVE STE 201,LA MESA,CA,91942-0524,0,3,3,1200,200410,1,15,0,1,1,202412.0,3,4,1,0,12,55704.0,395642.0,395642.0,B60,
10833350,BODY OF CHRIST MINISTRY CENTER,% ESTHER KANTANTO,3274 PEARL LN,OCEANSIDE,CA,92056-4114,0,3,3,7200,200603,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,X90,
10850312,TUITION GRANTED FOUNDATION,% JOCELYN PECTOL,PO BOX 927477,SAN DIEGO,CA,92192-7477,0,3,3,2000,200711,1,15,0,1,1,202412.0,1,0,2,0,12,1.0,0.0,0.0,B82,
10887188,LAKESIDE FRONTIER RIDERS INC,% RHONDA M KABOT,PO BOX 572,LAKESIDE,CA,92040-0572,0,7,3,1000,201203,2,0,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,N50,
10888493,SAN RAFAEL CATHOLIC CHURCH,% DENNIS L MIKULANIS,17252 BERNARDO CENTER DR,SAN DIEGO,CA,92128-2086,928,3,9,1700,194603,1,10,0,5,1,,0,0,6,0,12,,,,,SAN RAFAEL PARISH
10895410,SAN DIEGO CHINESE-AMERICAN WOMEN S LEAGUE,,7028 SHERBOURNE LN,SAN DIEGO,CA,92129-4654,0,3,3,1000,200803,1,15,0,1,1,202412.0,2,1,2,0,12,13201.0,4020.0,4020.0,S81,
10910549,SPANISH INSTITUTE,% NICK FERNANDES,2745 JEFFERSON ST STE C,CARLSBAD,CA,92008-1742,0,3,3,2100,200910,1,15,0,1,1,202412.0,3,4,1,0,12,30019.0,111233.0,111233.0,A70,
10911394,A WOMAN HAND IN HAND,% GRACELLYN GOLDBER-JEFFERSON,7325 HALF LA JOLLA BLVD,LA JOLLA,CA,92037-0000,0,3,3,2100,200811,1,15,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P83,
10916681,TOPS CLUB INC,% JAN HIGH,1052 CUYAMACA AVE,CHULA VISTA,CA,91911-2225,5501,3,9,1200,200809,1,16,0,5,1,202503.0,0,0,2,0,3,0.0,0.0,0.0,,721 CHULA VISTA TOPS CA
10917778,ESCONDIDO AMATEUR RADIO SOCIETY,% DIRK RESCHLY CPA,PO BOX 3243,ESCONDIDO,CA,92033-3243,0,3,3,1200,201005,1,15,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,M20,
10920860,SAN DIEGO STATE UNIVERSITY CIRCLE K,,5500 CAMPANILE DR,SAN DIEGO,CA,92182-0001,0,3,3,1000,201907,1,16,0,5,1,202405.0,0,0,2,0,5,0.0,0.0,0.0,,
10922523,TOMORROW INC,% NATHAN BAKER,3022 CIELO PL,CARLSBAD,CA,92009-7535,0,3,3,1000,200909,1,15,0,1,1,,0,0,0,0,12,,,,C27,
10923058,CELEBRACION HISPANA,,981 VALE TERRACE DR,VISTA,CA,92084-5213,0,3,3,1000,201404,1,10,0,1,1,,0,0,6,0,12,,,,X99,CELEBRATION HOUSE
10925093,COUNCIL FOR YOUTH EMPOWERMENT,% BILLIE G SANGSTER,9355 EMERALD GROVE AVE,LAKESIDE,CA,92040-3739,0,3,3,1000,201010,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,B82,
10926177,OUT OF THE BOAT SWIM,% NAOMI SHINNICK,739 SAN LUIS REY PL,SAN DIEGO,CA,92109-8247,0,3,3,2100,201002,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,N67,OUT OF THE BOAT
10934837,DEL NORTE HIGHSCHOOL MUSIC BOOSTERS,,16601 NIGHT HAWK LN,SAN DIEGO,CA,92127-4457,0,3,3,1000,201006,1,15,0,1,1,202506.0,4,4,1,0,6,145276.0,419400.0,419400.0,A6C,
10936099,PARENT BOOSTER USA INC,% VERONICA MURILLO,1410 LAUREL ST,OCEANSIDE,CA,92058-2217,5271,3,9,2100,200510,1,16,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,B112,LAUREL ELEMENTARY SCHOOL PTO INC
10944035,KNIGHTS OF COLUMBUS,% EDUARDO A GONZALEZ,822 BELLE CREST WAY,SAN DIEGO,CA,92154-6459,188,8,9,1000,194010,2,0,36029265,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,7903 ST CHARLES COUNCIL
10952729,ARMS OF GOD MINISTRY,% AMAKA ENE,PO BOX 1763,LEMON GROVE,CA,91946-1763,0,3,3,1000,201202,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,X20,
10962307,DENNIS AGAJANIAN MINISTRIES,% DENNIS AGAJANIAN,2025 LARKSPUR DR,ALPINE,CA,91901-1324,0,3,3,1000,201105,1,16,0,1,1,202412.0,5,4,1,0,12,566314.0,288720.0,288720.0,X20,
20535718,RISK INTERVENTION CORONARY ARTERY DISEASE INDIAN ASIANS PROJECT INC,% PURUSHOTHAM KOTHA MD,8860 CENTER DR STE 400,LA MESA,CA,91942-7003,0,3,3,1000,200301,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,H43,
20568166,NORTH PARK INTERFAITH HOUSING CORPORATION,% MATTHEW B JUMPER,7956 LESTER AVE,LEMON GROVE,CA,91945-1822,0,3,3,1000,200312,1,4,0,1,1,202412.0,1,2,0,1,12,1026.0,19936.0,,L20,
20582401,IGLESIA DE CRISTO SAN DIEGO INC,% RAFAEL GARCIA,4931 LOGAN AVE,SAN DIEGO,CA,92113-4471,0,3,3,7000,200408,1,10,0,1,1,202012.0,3,3,6,0,12,35330.0,95231.0,95231.0,X20,
20610320,TAYLER AND FRIENDS,% MILO HAMA,7778 PASEO LA JOLLA,CARLSBAD,CA,92009-9506,0,3,3,1000,200304,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P58,
20617380,EUGENE BOWMAN ECONOMIC EMPOWERMENT CENTER INC,% LORRAINE BOWMAN,3835 SWIFT AVE APT 109,SAN DIEGO,CA,92104-3166,0,3,3,1200,200302,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,S30,
20621411,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% NINTH DISTRICT PTA,4100 TAMARACK AVE,CARLSBAD,CA,92010-7101,646,3,9,2000,194311,1,16,59035000,5,1,202506.0,3,3,1,0,6,51962.0,94687.0,83271.0,,CALVERA HILLS ELEMENTARY PTA
20622126,RESMED SLEEP DISORDERED BREATHING FOUNDATION,% JACK G CHARNEY,7514 GIRARD AVE STE 1 PMB 343,LA JOLLA,CA,92037-5199,0,3,3,1000,200211,1,4,0,1,1,202412.0,7,6,0,1,12,6409905.0,3542420.0,,H92,
20624321,CAT ADOPTION SERVICE,% LORI MCGHEE,306 EL NORTE PARK WAY 479,ESCONDIDO,CA,92026-1960,0,3,3,1000,200207,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,D20,
20624529,NEW DIRECTIONS FOR ACADEMIC ADVANCEMENT,% LINDA GONZALES,PO BOX 1429,CARLSBAD,CA,92018-1429,0,3,3,2000,200401,1,16,0,1,1,202406.0,0,0,2,0,6,0.0,0.0,0.0,B19,
20629856,AMERICAN EAGLES BASEBALL CLUB INC,% VINCE ASKEY,2805 CAMINO DEL MAR APT 36,DEL MAR,CA,92014-2066,0,3,3,2000,200211,1,16,0,1,1,202412.0,1,0,2,0,12,7310.0,0.0,0.0,N20,
20647128,COASTAL CONFERENCE,% ALEXANDER BOSHAW,207 E PENNSYLVANIA AVE,ESCONDIDO,CA,92025-2808,0,3,3,2000,202203,1,16,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,B25,
20661772,CHRISTIAN RESTING PLACE MINISTRIES,,2111 INDUSTRIAL CT STE E,VISTA,CA,92081-7958,0,3,3,7000,200412,1,10,0,1,1,,0,0,6,0,12,,,,X21,
20665303,HARVEST ORTHODOX PRESBYTERIAN CHURCH,% CYNTHIA KOEHN,380 MULBERRY DR STE A,SAN MARCOS,CA,92069-1951,1956,3,9,7000,196810,1,10,29000000,5,1,,0,0,6,0,12,,,,,
20695379,BUDDY BOWL INC,% NICO MARCOLONGO,PO BOX 512,SOLANA BEACH,CA,92075-0512,0,3,3,1000,200308,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,T20,
20703673,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% JOANN BUTLER,1550 TEMPLE HEIGHTS DR,OCEANSIDE,CA,92056-3066,646,3,9,2000,194311,1,16,59035000,1,1,202406.0,4,4,1,0,6,125403.0,110777.0,90495.0,,T H E LEADERSHIP ACADEMY PTA
20706072,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% PTA TREASURER JOSIANE PETITT,120 HANNALEI DR,VISTA,CA,92083-7625,646,3,9,2000,194311,1,16,59035000,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,,HANNALEI ELEMENTARY PTA
20709521,AMERICAN SOCIETY OF PLUMBING ENGINEERS,% FELOR REZAYAT,875 ARCADIA AVE,VISTA,CA,92084-3202,8130,6,9,2000,199710,2,0,205000000,1,1,202406.0,3,3,1,0,6,70219.0,67344.0,36362.0,,ORANGE COUNTY
20731079,ISLAMIC EDUCATIONAL CENTER OF SAN DIEGO,% MOHAMMAD GHAZVINI,16130 W BERNARDO DR,SAN DIEGO,CA,92127-1830,0,3,3,7000,200506,1,10,0,0,1,,6,4,6,0,7,,,,X40,
20751906,CALIFORNIA HEALTH CARE COALITION,,1843 HOTEL CIRCLE SOUTH 3RD FLOOR,SAN DIEGO,CA,92108-3320,0,3,3,1000,200707,1,16,0,1,1,202412.0,4,4,1,0,12,119296.0,227503.0,227503.0,E19,
20753201,SNAPSHOTS MUSIC AND ARTS FOUNDATION,% JONATHAN BEWLEY,3013 LUNA AVE,SAN DIEGO,CA,92117-2515,0,3,3,2000,200902,1,15,0,1,1,202508.0,0,0,2,0,8,0.0,0.0,0.0,A68,
20755867,CELEBRATING LIFE INC,% DR THAMESTOKLIS S ZIKAKIS,721 HIGHLAND PARK,FALLBROOK,CA,92028-4492,0,3,3,1000,200604,1,15,0,1,1,202209.0,0,0,2,0,9,0.0,0.0,0.0,A40,
20762679,BUDDHIST MEDITATION CENTER OF SAN DIEGO,% KILJA LARSEN,7969 ENGINEER RD STE 204,SAN DIEGO,CA,92111-1922,0,3,3,7000,200611,1,10,0,5,1,,0,0,6,0,12,,,,X50,
20779446,EAST POINT CHRISTIAN CENTER,% EDWIN HANDLEY,1001 W COUNTRY CLUB LN,ESCONDIDO,CA,92026-1101,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,12,,,,X21,
20814702,CHRISTOU CHRISTIAN CHURCH,% BRUCE E DE SOTO,PO BOX 1292,VISTA,CA,92085-1292,0,3,3,7000,200907,1,10,0,1,1,,0,0,6,0,12,,,,X21,
30426046,CATHOLIC CHURCH OF AMERICA,% THOMAS E ABEL,4135 IOWA ST APT 9,SAN DIEGO,CA,92104-1956,0,3,3,7000,200412,1,10,0,1,1,,0,0,6,0,12,,,,X22,
30428753,PANORAMA TEEN & FAMILY RESOURCE CENTER,% VA FISCHER,PO BOX 1867,SAN MARCOS,CA,92079-1867,0,3,3,1200,202312,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,W01,
30435161,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% DENISE MENDOZA,301 22ND ST,SAN DIEGO,CA,92102-3089,646,3,9,2000,194311,1,16,59035000,5,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,,SHERMAN ACADEMY PTA
30435577,ESCONDIDO REFORMED BAPTIST CHURCH,% RON MARTINA,456 E GRAND AVE STE 202,ESCONDIDO,CA,92025-3321,0,3,3,7000,200209,1,10,0,1,1,,0,0,6,0,12,,,,X21,
30446927,ANTIOCH MINISTRIES,% CLARENCE HUNTER,432 EDGEHILL LN UNIT 94,OCEANSIDE,CA,92054-4729,0,3,3,1000,200308,1,10,0,1,1,,0,0,6,0,12,,,,X20,
30457495,INTERNATIONAL SOCIETY FOR CNS DRUG DEVELOPMENT INC,% DR AMIR KALALI,4653 CARMEL MOUNTAIN RD,SAN DIEGO,CA,92130-6650,0,3,3,8000,200212,1,15,0,1,1,202412.0,5,4,1,0,12,713627.0,455966.0,332093.0,U20,
30460340,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% MARTHA MURPHY,10437 ABALONE LANDING TER,SAN DIEGO,CA,92130-8709,646,3,9,2000,194311,1,16,59035000,5,1,202506.0,3,3,1,0,6,56043.0,66207.0,31063.0,,TORREY HILLS ELEMENTARY PTA
30462131,WESTVIEW FOUNDATION,% KATHLEEN TERRY,13500 CAMINO DEL SUR,SAN DIEGO,CA,92129-4465,0,3,3,1000,200307,1,16,0,1,1,202506.0,4,4,1,0,6,106536.0,237226.0,216958.0,B112,
30462303,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% CATHERINE CRZESKOWIAK,4741 SANTA MONICA AVE,SAN DIEGO,CA,92107-2208,646,3,9,2000,194311,1,16,59035000,5,1,202506.0,4,4,1,0,6,111372.0,162874.0,103135.0,,OCEAN BEACH ELEMENTARY PTA
30480478,OPERATION GAME ON,% MR TONY PEREZ,147 JALAPA CT,SOLANA BEACH,CA,92075-2513,0,3,3,2000,200302,1,15,0,1,1,202412.0,5,4,1,0,12,683877.0,396559.0,318804.0,N6A,
30480526,EL CAJON FIRE HISTORY AND LEARNING CENTER INC,% JOHN WILKINSON,8012 LAKE ADLON DR,SAN DIEGO,CA,92119-3119,0,3,3,1200,200409,1,15,0,1,1,202412.0,1,1,2,0,12,3954.0,2.0,2.0,A50,
30480723,CALIFORNIA MAIN STREET ALLIANCE,% BROOKE FOX,701 MISSION AVE,OCEANSIDE,CA,92054-2833,0,3,3,1000,201510,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,S20,
30521257,CANTAMORE INC,% NA,4806 HAIGHT TRL,SAN DIEGO,CA,92123-6429,0,3,3,2000,200406,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A6B,
30527662,MOJALET DANCE COLLECTIVE,% FAITH JENSEN-ISMAY,12252 BUCKSKIN TRL,POWAY,CA,92064-6006,0,3,3,2000,200404,1,16,0,1,1,202412.0,3,4,1,0,12,59326.0,126961.0,123866.0,A62,
30537749,CONTINUING EDUCATION CENTER AT RANCHO BERNARDO,% ERMONT JENNINGS,PO BOX 28099,SAN DIEGO,CA,92198-0099,0,3,3,2000,200409,1,16,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,B60,
30542702,CANYON CREST ACADEMY FOUNDATION INC,,5951 VILLAGE CENTER LOOP RD,SAN DIEGO,CA,92130-2499,0,3,3,2000,200410,1,15,0,1,1,202406.0,6,6,1,0,6,2550149.0,2410277.0,2410277.0,B11,
30564240,MCKINLEY SCHOOL FOUNDATION OF SAN DIEGO,% ANTHONY D SIDOTTI,3045 FELTON ST,SAN DIEGO,CA,92104-5218,0,3,3,1000,200508,1,15,0,1,1,202506.0,4,4,1,0,6,126881.0,365590.0,290981.0,B112,
30573154,SAN DIEGO CHAPTER OF AMERICAN PAYROLL ASSOCIATION,% CHRISTINE NESS,PO BOX 881523,SAN DIEGO,CA,92168-1523,0,3,3,1000,200606,1,16,0,5,1,202505.0,0,0,2,0,5,0.0,0.0,0.0,B60,SDAPA
30587911,KNIGHTS OF COLUMBUS,% RONALD PIATKIEWICZ,13208 LAKESHORE DR,LAKESIDE,CA,92040-3320,188,8,9,1000,194010,2,0,36029265,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,13007 OUR LADY OF PERPETUAL HELP
30601031,PARTNERSHIP FOR SUCCESS,% ED BRAND,3565 DEL REY ST STE 204,SAN DIEGO,CA,92109-5703,0,3,3,1200,200710,1,15,0,1,1,202412.0,1,0,2,0,12,120.0,0.0,0.0,B80,
30614029,ADVOCATES FOR FAMILIES AND COUPLES FOUNDATION,% KENDA SMITH,6161 ARNOLDSON CT,SAN DIEGO,CA,92122-2115,0,3,3,1000,200706,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,F60,
42387361,U S BADMINTON EDUCATION FOUNDATION INC,% DAVID CARTON,1504 GUIZOT ST,SAN DIEGO,CA,92107-3621,0,3,3,2000,196605,1,16,298059318,1,1,202412.0,5,2,2,0,12,530346.0,24934.0,24934.0,,
42614121,INTERSCHOLASTIC YACHT RACING ASSOCIATION INC,% SHERRI CAMPBELL,2812 CANON ST,SAN DIEGO,CA,92106-2742,6341,3,6,1000,201810,1,16,59149000,1,1,202306.0,4,3,1,0,6,252863.0,80392.0,80392.0,N67,
43275098,INTERNATIONAL COLLEGE OF PROSTHODONTISTS,% KENNETH A MALAMENT D D S,4425 CASS ST STE A,SAN DIEGO,CA,92109-4015,0,3,3,1000,199806,1,15,995180000,1,1,202412.0,4,4,1,0,12,258477.0,105917.0,105917.0,U20,
43511089,SHILLMAN FOUNDATION,,PO BOX 676267,RCHO SANTA FE,CA,92067-6267,0,3,3,1000,200006,1,4,0,2,1,202412.0,9,7,0,1,12,103133793.0,6336960.0,,T22,SHILLMAN ROBERT J TTEE
43594601,FALLBROOK NEWCOMERS CLUB,% C/O BRENDA DODD,PO BOX 1392,FALLBROOK,CA,92088-1392,0,7,3,1000,200206,2,0,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,N50,
43613610,NOSOTROS ASSOCIATION,% VICTOR CASTELLANOS,616 THIRD AVE,CHULA VISTA,CA,91910-5704,0,3,3,2100,200812,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,B84,
43616102,JULIAN 4TH OF JULY PARADE INC,% CARROL RUFFELL,1150 ORCHARDS LANE DRIVE,JULIAN,CA,92036-0000,0,4,3,1000,200305,2,0,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A84,
43651272,AMYOTROPHIC LATERAL SCLEROSIS ASSOCIATION,% STEVE BEYGAR EX DIR,2683 VIA DE LA VALLE STE G404,DEL MAR,CA,92014-1911,0,3,3,1000,202402,1,15,123000000,1,1,202201.0,0,6,1,0,12,0.0,2138341.0,2138341.0,G50,GREATER SAN DIEGO CHAPTER
43653586,OCEAN SCIENCE INTERNATIONAL INC,% DAVID MCMULLEN,9528 MIRAMAR RD 244,SAN DIEGO,CA,92126-4533,0,3,3,2000,201809,1,15,0,1,1,202412.0,7,5,1,0,12,7651458.0,744649.0,733983.0,F19,
43669003,BLACK STORY TELLERS OF SAN DIEGO,% ESTHER ANTHONY-THOMAS,PO BOX 742444,SAN DIEGO,CA,92174-2444,0,3,3,2000,200212,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A23,
43678668,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,% JAMES SCHUMACHER,PO BOX 13575,LA JOLLA,CA,92039-3575,943,3,9,1200,194605,1,16,119602281,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,D117 LA JOLLA
43682806,THE REVOLUTION CHURCH SAN DIEGO,% FRANK MARTINEZ,PO BOX 1501,CHULA VISTA,CA,91912-1501,0,3,3,7000,200212,1,10,0,1,1,,0,0,6,0,12,,,,X20,
43687028,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC,% JERRY LEININGER,13500 CAMINO DEL SUR,SAN DIEGO,CA,92129-4465,646,3,9,2000,194311,1,16,59035000,5,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,,WESTVIEW PTSA
43692321,LA JOLLA LACROSSE CLUB,% SETH NEWBERRY,3439 JEWELL ST,SAN DIEGO,CA,92109-6721,0,3,3,1200,200210,1,15,0,1,1,202412.0,2,3,1,0,12,18402.0,57636.0,57636.0,N60,
43694280,NORTH COUNTY EDUCATION FOUNDATION INC,% CAMERON CURRY,355 E GRAND AVE,ESCONDIDO,CA,92025-3313,0,3,3,1000,200608,1,21,0,1,1,202406.0,6,5,1,0,6,1699928.0,860687.0,860687.0,B11,
43701343,VEGAN COALITION,% JENNIFER BERGOVOY,11314 EXPLORER RD,LA MESA,CA,91941-7274,0,3,3,2000,200210,1,15,0,1,1,202502.0,0,0,2,0,2,0.0,0.0,0.0,D01,
43702334,LOLOMA FOUNDATION,% P LANCE HENDRICKS,549 ALBION ST,SAN DIEGO,CA,92106-3209,0,3,3,1000,200311,1,16,0,1,1,202412.0,4,4,1,0,12,122280.0,384655.0,384655.0,Q33,
43704983,EMPRESA PERFORMING ARTS FOUNDATION,% EMPRESA ELEMENTARY,4850 AVENIDA EMPRESA,OCEANSIDE,CA,92056-6541,0,3,3,1000,200409,1,16,0,5,1,202507.0,4,4,1,0,7,155561.0,244543.0,217563.0,B112,
43711387,CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA,% MIKE KENNY,PO BOX 710573,SANTEE,CA,92072-0573,5235,6,9,1000,199510,2,0,205000000,1,1,202412.0,4,4,1,0,12,159568.0,104116.0,96116.0,,CMAA SAN DIEGO REGIONAL CHAPTER
43711667,UNITY INTERNATIONAL MINISTRIES,% YOONAH HAHN,6724 LOPEZ GLEN WAY,SAN DIEGO,CA,92126-6112,0,3,3,7000,200302,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,X20,
